Round, Player, Round score, Score 
0, Bengt, 3, 298
1, Bengt, 24, 268
2, Bengt, 7, 261
3, Bengt, 1, 260
4, Bengt, 6, 254
5, Bengt, 24, 230
6, Bengt, 4, 142
7, Bengt, 5, 130
8, Bengt, 8, 115
9, Bengt, 14, 69
10, Bengt, 7, 62
11, Bengt, 12, 50
12, Bengt, 12, 0
13, Bengt, 12, 0
14, Bengt, 5, 7
15, Bengt, 7, 0
16, Bengt, 7, 0
17, Bengt, 7, 0
18, Bengt, 7, 0
19, Bengt, 7, 0
20, Bengt, 7, 0
21, Bengt, 7, 0
22, Bengt, 7, 0
23, Bengt, 7, 0
24, Bengt, 7, 0
25, Bengt, 7, 0
26, Bengt, 7, 0
27, Bengt, 7, 0
28, Bengt, 7, 0
29, Bengt, 7, 0
30, Bengt, 7, 0
31, Bengt, 7, 0
32, Bengt, 1, 6
33, Bengt, 6, 0
34, Bengt, 6, 0
0, Joakim, 301, 0
1, Joakim, 12, 289
2, Joakim, 14, 223
3, Joakim, 11, 212
4, Joakim, 10, 202
5, Joakim, 4, 153
6, Joakim, 9, 136
7, Joakim, 27, 61
8, Joakim, 12, 49
9, Joakim, 3, 5
10, Joakim, 5, 0
11, Joakim, 5, 0
12, Joakim, 5, 0
13, Joakim, 5, 0
14, Joakim, 5, 0
15, Joakim, 5, 0
16, Joakim, 5, 0
17, Joakim, 5, 0
18, Joakim, 5, 0
19, Joakim, 5, 0
20, Joakim, 5, 0
21, Joakim, 3, 2
22, Joakim, 2, 0
23, Joakim, 2, 0
24, Joakim, 2, 0
25, Joakim, 2, 0
26, Joakim, 2, 0
27, Joakim, 2, 0
28, Joakim, 2, 0
29, Joakim, 2, 0
30, Joakim, 2, 0
31, Joakim, 2, 0
32, Joakim, 2, 0
33, Joakim, 2, 0
34, Joakim, 2, 0
